2025-12-22 18:01:12,918 | INFO | backend | Downloading YouTube audio
2025-12-22 18:01:51,481 | INFO | backend | Running whisper on ./src/videos\6996b25a-a805-4881-a7ee-4cb03cfa0bd2.mp3
2025-12-22 18:02:19,994 | INFO | backend | Finished job 31f466cc-ccc5-47c0-ab41-8af567c740fd
2025-12-22 18:04:41,820 | INFO | backend | Create transcript job for video 33ebcd21-bf93-40ec-9de6-8a0383c7e1fe
2025-12-22 18:04:42,015 | INFO | backend | Start transcribing job 0c8b2588-981c-44d6-bf7e-2e440031c6dd
2025-12-22 18:04:42,053 | INFO | backend | Downloading YouTube audio
2025-12-22 18:06:47,667 | INFO | backend | Running whisper on ./src/videos\1f7821a9-4555-4b00-bee8-ba97ea4e053c.mp3
2025-12-22 18:07:46,134 | INFO | backend | Finished job 0c8b2588-981c-44d6-bf7e-2e440031c6dd
2025-12-22 18:10:34,815 | INFO | backend | Application shutdown
2025-12-22 18:10:47,216 | INFO | backend | Database connected successfully
2025-12-22 18:11:43,389 | INFO | backend | Application shutdown
2025-12-22 18:11:52,409 | INFO | backend | Database connected successfully
2025-12-22 18:23:06,803 | INFO | backend | Application shutdown
